Mon Feb 15 21:34:11 2021    output.dat

         3305284568 function calls (3264835398 primitive calls) in 7006.120 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      272 4170.871   15.334 4170.871   15.334 {method 'acquire' of '_thread.lock' objects}
  2797176   12.302    0.000  376.876    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/frame.py:2869(__getitem__)
  7927946   11.779    0.000   25.408    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:224(is_sparse)
 29371374   10.863    0.000   18.209    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/inference.py:322(is_hashable)
 10730835   10.859    0.000   12.215    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/blocks.py:236(mgr_locs)
  7943515   10.846    0.000   12.547    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:1532(__init__)
  5360927   10.570    0.000  140.906    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/construction.py:516(_try_cast)
  3504084   10.566    0.000  490.074    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/frame.py:966(iterrows)
  2561835   10.097    0.000   40.346    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/range.py:86(__new__)
 13046445    9.845    0.000   26.140    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:5648(maybe_extract_name)
  7928017    9.821    0.000   27.151    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:1116(is_dtype)
 40135784    9.780    0.000   22.451    0.000 /home/kd/anaconda3/lib/python3.7/abc.py:137(__instancecheck__)
  2787297    9.375    0.000  175.445    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/blocks.py:1232(take_nd)
  2784491    9.359    0.000  271.111    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/series.py:2728(_construct_result)
 13527751    9.341    0.000   16.339    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/series.py:492(name)
  5131968    9.340    0.000   98.461    0.000 /home/kd/anaconda3/lib/python3.7/_strptime.py:574(_strptime_datetime)
   929099    9.285    0.000   17.903    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexers.py:210(maybe_convert_indices)
  2561851    8.412    0.000   19.373    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:1560(construct_1d_object_array_from_listlike)
 24522296    8.245    0.000   11.106    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:563(__len__)
  4641288    8.107    0.000   12.692    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/arrays/numpy_.py:162(__init__)
  6068739    8.047    0.000   34.810    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/blocks.py:2366(__init__)
   929099    7.986    0.000  242.931    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:1427(take)
  5131972    7.975    0.000   82.705    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexing.py:864(__getitem__)
  6071393    7.909    0.000   32.437    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/common.py:97(is_bool_indexer)
  5132382    7.830    0.000    7.830    0.000 {method 'match' of 're.Pattern' objects}
  5138274    7.778    0.000    7.778    0.000 {pandas._libs.lib.infer_datetimelike_array}
  7933193    7.576    0.000    8.357    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/series.py:398(_set_axis)
   927697    7.339    0.000   51.111    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:1438(find_common_type)
3504584/3503905    7.229    0.000    7.289    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  3718763    7.163    0.000   13.590    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/generic.py:5086(__finalize__)
 29972880    7.101    0.000   10.807    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:180(<lambda>)
  5584530    6.950    0.000   25.489    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1330(is_bool_dtype)
  7922724    6.948    0.000   21.883    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/construction.py:575(is_empty_data)
  7928029    6.658    0.000   23.492    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:903(is_dtype)
 10715263    6.546    0.000   32.431    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:381(is_datetime64tz_dtype)
 29972880    6.510    0.000    6.510    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:178(classes)
